YYYY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi    ft
2007 09 22 02 00 103  4.1  4.8  1.00  6.67  6.02 100 1020.0  26.2  27.4  22.0 99.0 99.00
2007 09 22 03 00 120  3.2  3.8  1.06  9.09  6.17  91 1020.0  26.3  27.4  21.6 99.0 99.00
2007 09 22 04 00 130  4.0  5.0  1.04  8.33  6.31  86 1019.6  26.2  27.4  21.7 99.0 99.00
2007 09 22 05 00 135  3.3  4.2  0.99  8.33  6.20  81 1019.6  26.2  27.4  21.9 99.0 99.00
2007 09 22 06 00 164  3.1  3.8  0.92  9.09  6.18  86 1019.4  26.1  27.4  21.9 99.0 99.00
2007 09 22 07 00 166  2.4  3.1  0.95  9.09  6.37  87 1019.3  26.0  27.4  21.3 99.0 99.00
2007 09 22 08 00 183  1.8  2.4  0.96  9.09  6.74  83 1019.2  25.9  27.4  21.4 99.0 99.00
2007 09 22 09 00 232  0.3  0.9  0.90  9.09  6.53  98 1019.4  25.7  27.4  21.6 99.0 99.00
2007 09 22 10 00 100  0.8  1.4  0.84  8.33  6.41  89 1019.5  25.7  27.4  21.7 99.0 99.00
2007 09 22 11 00 103  1.5  1.9  0.87  8.33  6.47  86 1019.8  26.0  27.4  21.9 99.0 99.00
2007 09 22 12 00  87  1.4  2.3  0.87  8.33  6.55  83 1020.4  26.1  27.4  21.9 99.0 99.00
2007 09 22 13 00  93  1.7  2.5  0.94  9.09  6.66  93 1020.6  26.5  27.4  22.3 99.0 99.00
2007 09 22 14 00  88  1.6  2.2  0.98  9.09  6.78  95 1020.8  26.6  27.5  22.5 99.0 99.00
2007 09 22 15 00  96  1.7  2.5  0.93  8.33  6.76  91 1021.0  26.4  27.7  22.5 99.0 99.00
2007 09 22 16 00 122  2.1  2.8  0.96  8.33  6.56  86 1020.7  26.7  27.9  22.5 99.0 99.00
2007 09 22 17 00  91  2.2  2.8  0.90  7.69  6.58 109 1020.5  26.4  27.9  22.4 99.0 99.00
2007 09 22 18 00  53  1.8  2.4  0.95  8.33  6.53  88 1020.1  26.8  27.7  22.5 99.0 99.00
2007 09 22 19 00  60  2.8  3.5  0.97  8.33  6.52  83 1019.8  26.5  27.8  22.3 99.0 99.00
2007 09 22 20 00  67  2.0  3.0  0.95  9.09  6.42  95 1019.7  26.7  28.0  22.2 99.0 99.00
2007 09 22 21 00  42  2.5  3.4  0.87  7.69  6.19  83 1019.5  27.0  28.0  22.0 99.0 99.00
2007 09 22 22 00  66  3.4  4.1  1.02  9.09  6.51  96 1019.3  26.3  27.9  21.6 99.0 99.00
