YYYY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2002 01 06 03 232  1.4  2.1  1.72 12.50  9.48 999 1026.9  12.2  12.6 999.0 99.0 99.00
2002 01 06 04  71  0.7  1.2  1.76 12.50  9.58 999 1026.7  12.1  12.6 999.0 99.0 99.00
2002 01 06 05  84  1.0  1.7  1.85 12.50 10.16 999 1026.6  12.1  12.6 999.0 99.0 99.00
2002 01 06 06 323  0.1  0.5  1.94 14.29 10.03 999 1027.4  12.1  12.6 999.0 99.0 99.00
2002 01 06 07 180  0.0  0.5  1.95 14.29 10.38 999 1027.3  12.1  12.6 999.0 99.0 99.00
2002 01 06 08  95  0.5  1.2  2.09 12.50 10.46 999 1026.5  12.1  12.6 999.0 99.0 99.00
2002 01 06 09 133  0.7  1.4  2.10 12.50 10.13 999 1025.5  12.1  12.6 999.0 99.0 99.00
2002 01 06 10 102  2.4  3.3  2.04 12.50 10.17 999 1024.8  12.1  12.6 999.0 99.0 99.00
2002 01 06 11 245  4.0  6.0  2.01 12.50  9.80 999 1025.6  12.5  12.6 999.0 99.0 99.00
2002 01 06 12 271  3.1  4.1  1.88 12.50  9.79 999 1025.8  12.5  12.6 999.0 99.0 99.00
2002 01 06 13 278  0.6  1.7  2.24 12.50 10.19 999 1025.3  12.5  12.6 999.0 99.0 99.00
2002 01 06 14 247  3.0  4.1  2.25 12.50 10.26 999 1025.8  12.6  12.6 999.0 99.0 99.00
2002 01 06 15 273  3.1  4.2  2.49 12.50 10.36 999 1026.1  12.5  12.6 999.0 99.0 99.00
2002 01 06 16 286  0.8  1.8  2.12 11.11  9.59 999 1026.7  12.1  12.6 999.0 99.0 99.00
2002 01 06 17  44  3.2  4.4  2.34 11.11  9.69 999 1026.7  12.1  12.6 999.0 99.0 99.00
2002 01 06 18  86  0.4  1.4  2.27 12.50  9.57 999 1027.5  12.1  12.6 999.0 99.0 99.00
2002 01 06 19 209  0.9  1.9  2.24 12.50  9.49 999 1027.3  11.8  12.6 999.0 99.0 99.00
2002 01 06 20 228  1.9  2.8  2.09 10.00  9.04 999 1027.1  12.0  12.6 999.0 99.0 99.00
2002 01 06 21 177  3.1  3.9  1.86 12.50  9.05 999 1025.7  12.1  12.8 999.0 99.0 99.00
2002 01 06 22 251  3.6  5.3  2.15 14.29  9.56 999 1025.7  11.4  12.8 999.0 99.0 99.00
2002 01 06 23 260  3.6  4.7  1.88 11.11  9.06 999 1025.5  11.0  12.8 999.0 99.0 99.00
2002 01 07 00 273  4.4  5.3  2.25 11.11  9.85 999 1025.8  11.3  12.8 999.0 99.0 99.00
2002 01 07 01 297  2.4  3.4  2.25 12.50  9.94 999 1025.5  11.0  12.8 999.0 99.0 99.00
2002 01 07 02  17  0.9  1.8  2.44 12.50 10.23 999 1025.3  10.7  12.6 999.0 99.0 99.00
