YYYY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2009 01 04 03 50 999 99.0 99.0  2.20  9.09  6.30 285 1022.1   7.0   8.6 999.0 99.0 99.00
2009 01 04 04 50 999 99.0 99.0  2.04  8.33  6.47 277 1022.1   7.1   8.6 999.0 99.0 99.00
2009 01 04 05 50 999 99.0 99.0  2.20  9.09  6.57 271 1021.7   6.6   8.6 999.0 99.0 99.00
2009 01 04 06 50 999 99.0 99.0  2.28 10.00  6.53 280 1021.4   7.1   8.6 999.0 99.0 99.00
2009 01 04 07 50 999 99.0 99.0  2.09  9.09  5.64 251 1021.5   7.0   8.7 999.0 99.0 99.00
2009 01 04 08 50 999 99.0 99.0  2.41  9.09  5.82 280 1020.7   7.5   8.6 999.0 99.0 99.00
2009 01 04 09 50 999 99.0 99.0  2.44 10.00  5.76 280 1020.6   6.9   8.6 999.0 99.0 99.00
2009 01 04 10 50 999 99.0 99.0  2.55  9.09  5.92 276 1020.2   6.9   8.6 999.0 99.0 99.00
2009 01 04 11 50 999 99.0 99.0  2.58 10.00  5.62 289 1019.4   5.9   8.6 999.0 99.0 99.00
2009 01 04 12 50 999 99.0 99.0  2.64  9.09  5.62 277 1018.7   5.1   8.6 999.0 99.0 99.00
2009 01 04 13 50 999 99.0 99.0  2.68 10.00  5.67 285 1017.7   5.0   8.6 999.0 99.0 99.00
2009 01 04 14 50 999 99.0 99.0  2.44 10.81  5.50 284 1016.8   5.3   8.6 999.0 99.0 99.00
2009 01 04 15 50 999 99.0 99.0  2.67 10.00  5.72 274 1016.1   5.3   8.6 999.0 99.0 99.00
2009 01 04 16 50 999 99.0 99.0  2.44 10.81  5.51 281 1015.7   5.3   8.6 999.0 99.0 99.00
2009 01 04 17 50 999 99.0 99.0  2.31 10.81  5.35 286 1014.9   5.0   8.6 999.0 99.0 99.00
2009 01 04 18 50 999 99.0 99.0  2.53  5.88  5.35 197 1014.2   5.3   8.7 999.0 99.0 99.00
2009 01 04 19 50 999 99.0 99.0  2.58  6.67  5.33 205 1012.4   5.2   8.6 999.0 99.0 99.00
2009 01 04 20 50 999 99.0 99.0  2.82  6.67  5.58 199 1009.0   5.0   8.6 999.0 99.0 99.00
2009 01 04 21 50 999 99.0 99.0  2.98  7.14  5.51 199 1009.2   4.6   8.6 999.0 99.0 99.00
2009 01 04 22 50 999 99.0 99.0  3.39  7.69  5.77 205 1006.9   3.8   8.5 999.0 99.0 99.00
2009 01 04 23 50 999 99.0 99.0  3.81  7.69  6.15 188 1005.8   3.8   8.6 999.0 99.0 99.00
2009 01 05 00 50 999 99.0 99.0  4.67  9.09  6.64 207 1003.1   3.8   8.6 999.0 99.0 99.00
2009 01 05 01 50 999 99.0 99.0  4.86  9.09  6.99 188 1001.0   4.2   8.6 999.0 99.0 99.00
2009 01 05 02 50 999 99.0 99.0  5.26 10.00  7.08 204  999.9   6.8   8.6 999.0 99.0 99.00
2009 01 05 03 50 999 99.0 99.0  5.13 10.81  7.29 208  997.8   8.8   8.7 999.0 99.0 99.00
2009 01 05 04 50 999 99.0 99.0  5.37 10.81  7.57 193  997.7   9.3   8.7 999.0 99.0 99.00
2009 01 05 05 50 999 99.0 99.0  5.01 10.81  7.69 194  997.6   9.3   8.7 999.0 99.0 99.00
2009 01 05 06 50 999 99.0 99.0  4.78 10.81  7.99 202  998.1   9.1   8.7 999.0 99.0 99.00
2009 01 05 07 50 999 99.0 99.0  5.31 10.81  8.38 196  998.3   9.1   8.7 999.0 99.0 99.00
2009 01 05 08 50 999 99.0 99.0  5.18 10.81  8.31 204  998.9   9.2   8.7 999.0 99.0 99.00
2009 01 05 09 50 999 99.0 99.0  4.76 10.81  7.91 202  999.3   9.1   8.7 999.0 99.0 99.00
2009 01 05 10 50 999 99.0 99.0  4.73 10.00  8.11 196 1000.3   9.0   8.7 999.0 99.0 99.00
2009 01 05 11 50 999 99.0 99.0  4.53 10.81  7.96 189 1001.3   9.0   8.8 999.0 99.0 99.00
2009 01 05 12 50 999 99.0 99.0  4.72 10.00  8.13 205 1002.3   8.9   8.8 999.0 99.0 99.00
2009 01 05 13 50 999 99.0 99.0  4.36 10.00  7.89 211 1003.7   8.1   8.8 999.0 99.0 99.00
2009 01 05 14 50 999 99.0 99.0  4.04 10.81  7.60 195 1005.0   8.5   8.9 999.0 99.0 99.00
2009 01 05 15 50 999 99.0 99.0  4.56 10.00  7.76 219 1006.0   8.4   8.9 999.0 99.0 99.00
2009 01 05 16 50 999 99.0 99.0  4.30 10.81  7.92 208 1008.1   8.5   8.9 999.0 99.0 99.00
2009 01 05 17 50 999 99.0 99.0  4.58 10.81  8.16 220 1009.3   8.2   8.9 999.0 99.0 99.00
2009 01 05 18 50 999 99.0 99.0  4.54 10.00  8.29 253 1010.5   8.5   8.9 999.0 99.0 99.00
2009 01 05 19 50 999 99.0 99.0  4.28 10.00  7.98 262 1012.0   8.3   8.9 999.0 99.0 99.00
2009 01 05 20 50 999 99.0 99.0  4.87 10.81  8.70 248 1012.2   8.2   8.9 999.0 99.0 99.00
2009 01 05 21 50 999 99.0 99.0  4.80 11.43  8.70 261 1013.1   8.2   8.9 999.0 99.0 99.00
2009 01 05 22 50 999 99.0 99.0  4.45 10.81  8.88 228 1013.7   8.1   8.8 999.0 99.0 99.00
2009 01 05 23 50 999 99.0 99.0  4.38 12.12  8.98 266 1013.8   8.1   8.8 999.0 99.0 99.00
2009 01 06 00 50 999 99.0 99.0  4.06 12.90  8.76 263 1014.9   8.1   8.8 999.0 99.0 99.00
2009 01 06 01 50 999 99.0 99.0  4.09 12.12  8.94 262 1014.8   8.2   8.8 999.0 99.0 99.00
2009 01 06 02 50 999 99.0 99.0  4.24 12.90  9.10 279 1015.0   8.1   8.8 999.0 99.0 99.00
2009 01 06 03 50 999 99.0 99.0  4.07 13.79  9.04 280 1014.6   7.9   8.9 999.0 99.0 99.00
2009 01 06 04 50 999 99.0 99.0  4.02 13.79  9.11 278 1015.3   8.0   8.9 999.0 99.0 99.00
2009 01 06 05 50 999 99.0 99.0  4.23 14.81  9.69 278 1015.4   8.0   8.9 999.0 99.0 99.00
2009 01 06 06 50 999 99.0 99.0  4.53 13.79  9.82 279 1015.4   8.0   8.9 999.0 99.0 99.00
2009 01 06 07 50 999 99.0 99.0  4.50 12.90  9.66 281 1013.9   7.9   8.9 999.0 99.0 99.00
2009 01 06 08 50 999 99.0 99.0  4.60 12.90  9.48 279 1013.4   7.7   8.9 999.0 99.0 99.00
2009 01 06 09 50 999 99.0 99.0  4.47 13.79  9.33 283 1012.9   8.0   8.9 999.0 99.0 99.00
2009 01 06 10 50 999 99.0 99.0  4.53 13.79  9.12 276 1012.1   8.2   8.9 999.0 99.0 99.00
2009 01 06 11 50 999 99.0 99.0  4.88 12.12  9.25 278 1011.2   8.3   8.9 999.0 99.0 99.00
2009 01 06 12 50 999 99.0 99.0  4.27 12.12  9.02 277 1010.7   8.6   8.9 999.0 99.0 99.00
2009 01 06 13 50 999 99.0 99.0  4.62 12.90  9.07 276 1009.4   8.8   8.9 999.0 99.0 99.00
2009 01 06 14 50 999 99.0 99.0  3.86 13.79  8.73 275 1009.9   9.0   8.9 999.0 99.0 99.00
2009 01 06 15 50 999 99.0 99.0  3.80 14.81  8.79 272 1009.9   9.1   9.0 999.0 99.0 99.00
2009 01 06 16 50 999 99.0 99.0  3.73 16.00  8.50 270 1010.5   9.2   9.0 999.0 99.0 99.00
2009 01 06 17 50 999 99.0 99.0  3.37 14.81  7.97 271 1010.4   9.3   8.9 999.0 99.0 99.00
2009 01 06 18 50 999 99.0 99.0  3.41 16.00  7.63 267 1011.3   9.7   8.9 999.0 99.0 99.00
2009 01 06 19 50 999 99.0 99.0  3.53 13.79  7.55 275 1011.1  10.0   9.0 999.0 99.0 99.00
2009 01 06 20 50 999 99.0 99.0  3.78 14.81  7.43 277 1010.7  10.0   9.0 999.0 99.0 99.00
2009 01 06 21 50 999 99.0 99.0  4.09 14.81  7.67 280 1010.3  10.0   9.0 999.0 99.0 99.00
2009 01 06 22 50 999 99.0 99.0  4.34 13.79  7.70 282 1010.2  10.4   8.9 999.0 99.0 99.00
2009 01 06 23 50 999 99.0 99.0  4.64 13.79  7.54 291 1010.0   9.9   8.9 999.0 99.0 99.00
2009 01 07 00 50 999 99.0 99.0  4.61 12.12  7.71 278 1009.5  10.0   9.0 999.0 99.0 99.00
2009 01 07 01 50 999 99.0 99.0  4.55 11.43  7.53 277 1009.1  10.2   9.0 999.0 99.0 99.00
2009 01 07 02 50 999 99.0 99.0  5.02 13.79  7.78 274 1008.8  10.0   9.0 999.0 99.0 99.00
2009 01 07 03 50 999 99.0 99.0  4.69 12.12  7.80 271 1008.6  10.3   9.0 999.0 99.0 99.00
2009 01 07 04 50 999 99.0 99.0  4.93 10.00  7.43 271 1008.3  10.2   9.0 999.0 99.0 99.00
2009 01 07 05 50 999 99.0 99.0  4.53 10.81  7.38 266 1008.2  10.2   9.0 999.0 99.0 99.00
2009 01 07 06 50 999 99.0 99.0  4.93 11.43  7.67 271 1008.2  10.3   9.0 999.0 99.0 99.00
2009 01 07 07 50 999 99.0 99.0  4.72 10.81  7.42 257 1008.1  10.3   9.0 999.0 99.0 99.00
2009 01 07 08 50 999 99.0 99.0  4.80 10.81  7.56 266 1008.1  10.1   8.9 999.0 99.0 99.00
2009 01 07 09 50 999 99.0 99.0  4.23 10.81  7.39 264 1008.3  10.0   8.9 999.0 99.0 99.00
2009 01 07 10 50 999 99.0 99.0  4.54 11.43  7.80 269 1008.5  10.1   8.9 999.0 99.0 99.00
2009 01 07 11 50 999 99.0 99.0  4.53 14.81  7.80 279 1008.1   9.9   8.9 999.0 99.0 99.00
2009 01 07 12 50 999 99.0 99.0  4.31 11.43  7.67 281 1007.7  10.0   8.8 999.0 99.0 99.00
2009 01 07 13 50 999 99.0 99.0  4.79 12.90  7.80 277 1007.5  10.0   8.8 999.0 99.0 99.00
2009 01 07 14 50 999 99.0 99.0  4.46 12.90  7.74 280 1007.6   9.9   8.8 999.0 99.0 99.00
2009 01 07 15 50 999 99.0 99.0  4.69 12.90  8.02 279 1007.8  10.0   8.8 999.0 99.0 99.00
2009 01 07 16 50 999 99.0 99.0  4.97 12.12  7.98 278 1008.0  10.1   8.8 999.0 99.0 99.00
