YYYY MM DD hh  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2004 01 05 00 339 10.1 12.3  2.15 11.11  5.58 306 1025.2  11.3  13.3 999.0 99.0 99.00
2004 01 05 01 338  9.6 11.4  2.11 10.00  5.41 311 1024.9  11.1  13.3 999.0 99.0 99.00
2004 01 05 02 336  9.5 11.7  2.10 11.11  5.55 313 1024.4  11.3  13.3 999.0 99.0 99.00
2004 01 05 03 330  8.8 10.4  2.11 12.50  5.94 312 1024.3  11.3  13.3 999.0 99.0 99.00
2004 01 05 04 333  8.4 10.3  1.93 11.11  6.06 310 1024.5  11.3  13.3 999.0 99.0 99.00
2004 01 05 05 346  5.2  6.1  1.75  9.09  5.74 306 1024.7  11.4  13.3 999.0 99.0 99.00
2004 01 05 06  40  1.3  2.0  1.93 11.11  6.20 308 1025.4  11.7  13.3 999.0 99.0 99.00
2004 01 05 07 126  3.0  3.7  1.64 11.11  6.43 308 1025.3  11.8  13.0 999.0 99.0 99.00
2004 01 05 08 158  3.4  4.3  1.67 11.11  6.26 299 1025.2  11.7  13.0 999.0 99.0 99.00
2004 01 05 09 130  4.3  5.2  1.79 11.11  6.58 312 1025.1  11.0  12.9 999.0 99.0 99.00
2004 01 05 10 127  3.8  4.7  1.65 11.11  5.96 305 1024.8  11.0  13.3 999.0 99.0 99.00
2004 01 05 11 158  1.5  2.8  1.71  9.09  6.38 306 1025.0  11.4  13.3 999.0 99.0 99.00
2004 01 05 12 195  1.3  2.1  1.69 10.00  6.42 302 1024.3  11.4  13.3 999.0 99.0 99.00
2004 01 05 13 237  1.4  1.9  1.61 11.11  6.41 299 1024.3  11.4  13.3 999.0 99.0 99.00
2004 01 05 14 114  3.7  5.2  1.75 11.11  6.39 304 1023.1  11.4  13.3 999.0 99.0 99.00
2004 01 05 15 107  5.5  7.3  1.67 10.00  6.52 321 1023.7  11.0  13.3 999.0 99.0 99.00
2004 01 05 16 116  6.2  7.9  1.69 10.00  6.23 309 1024.1  11.3  13.2 999.0 99.0 99.00
2004 01 05 17 130  3.2  4.4  1.62 11.11  6.04 300 1025.1  11.4  13.2 999.0 99.0 99.00
2004 01 05 18  78  2.3  3.0  1.54 10.00  6.43 305 1025.3  12.3  13.3 999.0 99.0 99.00
2004 01 05 19  92  1.1  2.2  1.55 11.11  6.40 305 1025.0  12.5  13.3 999.0 99.0 99.00
2004 01 05 20 322  0.5  1.7  1.55 11.11  6.48 317 1024.3  13.0  13.3 999.0 99.0 99.00
2004 01 05 21 336  0.9  1.8  1.32 10.00  6.01 317 1023.6  12.8  13.4 999.0 99.0 99.00
2004 01 05 22 355  2.0  2.8  1.40 10.00  6.89 314 1022.6  12.5  13.4 999.0 99.0 99.00
2004 01 05 23 352  3.0  3.8  1.32 10.00  6.89 323 1022.1  12.1  13.6 999.0 99.0 99.00
2004 01 06 00 325  3.6  4.4  1.30 10.00  7.19 321 1022.1  12.1  13.4 999.0 99.0 99.00
2004 01 06 01 311  3.5  4.2  1.23  9.09  7.36 309 1022.5  11.8  13.3 999.0 99.0 99.00
2004 01 06 02 333  3.2  4.5  1.20  9.09  7.21 309 1022.6  11.7  13.3 999.0 99.0 99.00
2004 01 06 03 317  4.2  4.9  1.19 10.00  7.59 306 1022.6  11.7  13.3 999.0 99.0 99.00
2004 01 06 04 315  3.2  3.9 99.00 99.00 99.00 999 1022.3  11.7  12.9 999.0 99.0 99.00
2004 01 06 05 333  1.6  2.2  1.13  9.09  7.93 314 1022.0  11.4  12.9 999.0 99.0 99.00
2004 01 06 06 131  0.1  0.5  1.07 10.00  7.85 310 1021.9  11.3  13.3 999.0 99.0 99.00
2004 01 06 07  78  1.7  2.4  1.06  8.33  7.73 316 1021.2  11.7  13.3 999.0 99.0 99.00
2004 01 06 08 115  1.4  2.2  1.04  8.33  7.46 309 1021.0  12.1  13.3 999.0 99.0 99.00
2004 01 06 09 178  1.0  1.6  1.02  9.09  7.54 309 1021.1  12.1  13.3 999.0 99.0 99.00
2004 01 06 10 135  1.0  1.7  0.96  9.09  7.45 310 1020.7  12.1  13.3 999.0 99.0 99.00
2004 01 06 11 135  3.5  4.1  0.97  8.33  7.54 314 1020.3  12.5  13.3 999.0 99.0 99.00
2004 01 06 12 115  3.8  4.8  0.97  8.33  7.58 305 1019.4  12.1  13.3 999.0 99.0 99.00
2004 01 06 13 128  4.7  6.1  0.94  7.69  5.84 309 1018.7  12.5  13.3 999.0 99.0 99.00
2004 01 06 14 159  4.3  5.3  0.98  9.09  5.79 302 1018.8  12.5  13.3 999.0 99.0 99.00
2004 01 06 15 182  3.9  4.7  0.88  7.69  5.38 297 1018.8  12.2  12.9 999.0 99.0 99.00
2004 01 06 16 170  4.0  4.7  0.86 12.50  5.53 285 1018.8  12.1  12.9 999.0 99.0 99.00
2004 01 06 17 163  4.3  5.0  0.80 11.11  5.70 266 1019.0  12.5  12.9 999.0 99.0 99.00
2004 01 06 18 141  3.8  4.8  0.75 16.67  5.78 265 1019.5  12.5  12.9 999.0 99.0 99.00
2004 01 06 19 141  4.1  5.1  0.75 14.29  6.34 267 1019.2  12.6  12.9 999.0 99.0 99.00
2004 01 06 20 143  5.2  6.1  0.75 14.29  6.80 271 1017.9  12.5  12.9 999.0 99.0 99.00
2004 01 06 21 127  6.4  7.3  0.67 14.29  6.16 279 1016.6  12.5  13.0 999.0 99.0 99.00
2004 01 06 22 117  7.1  8.1  0.70 14.29  5.43 263 1016.2  12.5  13.3 999.0 99.0 99.00
2004 01 06 23 156  5.3  6.4  0.75 14.29  4.84 111 1016.6  12.6  13.3 999.0 99.0 99.00
2004 01 07 00 161  4.6  5.5  0.65 14.29  4.78 273 1016.5  12.8  13.3 999.0 99.0 99.00
2004 01 07 01 141  4.2  4.9  0.66 14.29  6.08 283 1016.5  12.6  13.3 999.0 99.0 99.00
2004 01 07 02 183  3.2  3.9  0.65 14.29  6.16 273 1017.4  12.6  13.3 999.0 99.0 99.00
2004 01 07 03 180  3.0  3.5  0.61 14.29  6.52 270 1017.2  12.6  13.3 999.0 99.0 99.00
2004 01 07 04 204  3.0  3.4  0.59 14.29  6.65 269 1017.3  12.8  13.3 999.0 99.0 99.00
2004 01 07 05 121  3.1  3.6  0.57 14.29  7.61 255 1016.5  12.8  13.3 999.0 99.0 99.00
2004 01 07 06 116  4.7  5.5  0.58 14.29  8.50 277 1016.6  12.9  13.3 999.0 99.0 99.00
2004 01 07 07 149  4.1  4.7  0.54 14.29  8.31 274 1017.9  12.8  13.3 999.0 99.0 99.00
2004 01 07 08 166  2.7  3.4  0.48 14.29  7.54 278 1017.5  12.9  13.3 999.0 99.0 99.00
2004 01 07 09 160  2.6  3.1  0.62 14.29  7.30 265 1017.3  12.9  13.3 999.0 99.0 99.00
2004 01 07 10 129  6.8  7.6  0.58 14.29  7.44 248 1015.9  12.8  13.3 999.0 99.0 99.00
2004 01 07 11 137  7.3  9.0  0.60 14.29  5.64 239 1016.7  12.9  13.3 999.0 99.0 99.00
2004 01 07 12 130  6.9  8.2  0.70 14.29  4.05 270 1016.4  12.8  13.3 999.0 99.0 99.00
2004 01 07 13 153  6.7  7.8  0.83 14.29  4.38 257 1017.2  12.8  13.4 999.0 99.0 99.00
2004 01 07 14 132  8.0  9.6  0.89 14.29  4.25 239 1016.5  12.8  13.4 999.0 99.0 99.00
2004 01 07 15 127  7.7  9.7  1.01 14.29  4.33 281 1017.2  12.8  13.4 999.0 99.0 99.00
2004 01 07 16 135  8.2  9.2  1.06  3.70  4.21 149 1017.7  12.9  13.3 999.0 99.0 99.00
2004 01 07 17 149  7.9  9.2  1.00  3.57  4.17 150 1018.1  12.9  13.3 999.0 99.0 99.00
2004 01 07 18 158  8.1  9.4  1.11 12.50  4.44 277 1019.0  12.9  13.3 999.0 99.0 99.00
2004 01 07 19 139  7.0  8.6  1.26 12.50  4.81 269 1019.3  13.1  13.3 999.0 99.0 99.00
2004 01 07 20 134  8.1  9.5  1.21 12.50  4.70 286 1018.7  12.9  13.4 999.0 99.0 99.00
2004 01 07 21 131  8.2  9.7  1.33 11.11  4.88 286 1018.1  13.2  13.4 999.0 99.0 99.00
2004 01 07 22 124  9.3 11.0  1.47 10.00  4.95 281 1017.5  12.8  13.4 999.0 99.0 99.00
2004 01 07 23 125  8.6 10.2  1.54 10.00  4.99 273 1017.7  12.8  13.4 999.0 99.0 99.00
2004 01 08 00 133  8.8 10.9  1.80  9.09  5.35 280 1017.9  12.9  13.4 999.0 99.0 99.00
2004 01 08 01 133  5.6  6.7  1.84  9.09  5.83 277 1019.4  12.9  13.4 999.0 99.0 99.00
2004 01 08 02 112  5.7  7.0  1.84  9.09  6.13 267 1020.3  12.8  13.4 999.0 99.0 99.00
2004 01 08 03 115  6.5  7.9  1.83  9.09  6.29 271 1020.0  12.9  13.4 999.0 99.0 99.00
2004 01 08 04 133  6.7  7.7  1.80  9.09  6.11 268 1019.5  12.8  13.4 999.0 99.0 99.00
2004 01 08 05 132  6.2  7.6  1.69  8.33  6.22 266 1019.6  12.9  13.4 999.0 99.0 99.00
2004 01 08 06 122  6.9  8.4  1.58  8.33  5.95 257 1020.3  12.9  13.4 999.0 99.0 99.00
2004 01 08 07 116  7.2  8.6  1.62  8.33  5.82 261 1019.8  12.9  13.4 999.0 99.0 99.00
2004 01 08 08 126  7.5  8.6  1.61  9.09  5.77 261 1019.9  13.0  13.3 999.0 99.0 99.00
